Locale,Key,English Value,Type
am,"fromAvailstartformatcontext","From: {startTime}",missing
am,"gameApprovedSuccessfully","Game approved successfully!",missing
am,"gameCreatedSuccessfully","Game created successfully!",missing
am,"gameDeletedSuccessfully","Game deleted successfully!",missing
am,"gameList","Game List",missing
am,"gameRejected","Game rejected",missing
am,"getHelpWithYourAccount","Get help with your account",missing
am,"goBack","Go Back",missing
am,"goToDashboard","Go to Dashboard",missing
am,"googleCalendar","Google Calendar",missing
am,"grantConsent","Grant Consent",missing
am,"groupGroupid","Group: $groupId",missing
am,"helpSupport","Help & Support",missing
am,"home1","Home",missing
am,"homeFeedScreen","Home Feed Screen",missing
am,"iConsent","I Consent",missing
am,"iDoNotConsent","I Do Not Consent",missing
am,"invitationSentSuccessfully","Invitation sent successfully!",missing
am,"inviteChild","Invite Child",missing
am,"inviteContact","Invite Contact",missing
am,"inviteFriends","Invite Friends",missing
am,"invited1","Invited",missing
am,"inviteeArgsinviteeid","Invitee: {inviteeId}",missing
am,"invoiceCreatedSuccessfully","Invoice created successfully!",missing
am,"invoices","Invoices",missing
am,"join","Join",missing
am,"keepSubscription","Keep Subscription",missing
am,"language","Language",missing
am,"linkAccounts","Link Accounts",missing
am,"linkCopiedToClipboard","Link copied to clipboard!",missing
am,"linkchildidsubstring08","{linkId}...",missing
am,"livePlaytime","Live Playtime",missing
am,"REDACTED_TOKEN","Live session scheduled! Waiting for parent approval...",missing
am,"loadingCheckout","Loading checkout...",missing
am,"localizationContribution","Localization Contribution",missing
am,"login1","Login",missing
am,"loginFailedE","Login failed: $e",missing
am,"loginScreen","Login Screen",missing
am,"logout1","Logout",missing
am,"logtargettypeLogtargetid","{targetType}: {targetId}",missing
am,"makeGamePublic","Make Game Public",missing
am,"manageChildAccounts","Manage Child Accounts",missing
am,"manageStaffAvailability","Manage Staff Availability",missing
am,"manageSubscription","Manage Subscription",missing
am,"markAsPaid","Mark as Paid",missing
am,"meetingIdMeetingid","Meeting ID: $meetingId",missing
am,"meetingSharedSuccessfully1","Meeting shared successfully!",missing
am,"menu","Menu",missing
am,"messages","Messages",missing
am,"monetizationSettings","Monetization Settings",missing
am,"REDACTED_TOKEN","Monetization settings will be implemented here",missing
am,"multipleChoice","Multiple Choice",missing
am,"myInvites1","My Invites",missing
am,"myProfile1","My Profile",missing
am,"mySchedule","My Schedule",missing
am,"nameProfilename","Name: {name}",missing
am,"newNotificationPayloadtitle","New notification: {payloadTitle}",missing
am,"next1","Next",missing
am,"noAmbassadorDataAvailable","No ambassador data available",missing
am,"noAnalyticsDataAvailableYet","No analytics data available yet.",missing
am,"noAppointmentRequestsFound","No appointment requests found.",missing
am,"noAppointments","No appointments",missing
am,"noAppointmentsFound","No appointments found.",missing
am,"noAvailableSlots","No available slots",missing
am,"noBookingsFound","No bookings found",missing
am,"noBranchesAvailable","No branches available",missing
am,"noChartDataAvailable","No chart data available",missing
am,"REDACTED_TOKEN","No clients found. Add your first client!",missing
am,"noContentAvailableYet","No content available yet",missing
am,"noEvents","No events",missing
am,"noEventsScheduledForToday","No events scheduled for today",missing
am,"noEventsScheduledThisMonth","No events scheduled this month",missing
am,"noEventsScheduledThisWeek","No events scheduled this week",missing
am,"noExternalMeetingsFound","No external meetings found.",missing
am,"REDACTED_TOKEN","No invoices found. Create your first invoice!",missing
am,"noMediaSelected","No media selected",missing
am,"noMessagesFound","No messages found.",missing
am,"noMissingTranslations","No missing translations",missing
am,"noNotifications","No notifications",missing
am,"noProviders","No providers",missing
am,"REDACTED_TOKEN","No providers found. Add your first provider!",missing
am,"noQuestionsAdded","No questions added",missing
am,"noRoomsFoundAddYourFirstRoom","No rooms found. Add your first room!",missing
am,"noRouteDefinedForSettingsname","No route defined for {settingsName}",missing
am,"noRouteDefinedForStateuripath","No route defined for {path}",missing
am,"noSlots","No slots",missing
am,"noTicketsYet","No tickets yet",missing
am,"noTimeSeriesDataAvailable","No time series data available",missing
am,"noUpcomingBookings","No upcoming bookings",missing
am,"none","None",missing
am,"notAuthenticated","Not authenticated",missing
am,"notifications1","Notifications",missing
am,"onboardingScreen","Onboarding Screen",missing
am,"openingCustomerPortal","Opening customer portal...",missing
am,"option","• $option",missing
am,"orgmemberidslengthMembers","{memberCount} members",missing
am,"overview","Overview",untranslated
am,"parentDashboard","Parent Dashboard",missing
am,"parentalConsent","Parental Consent",missing
am,"parentalControls","Parental Controls",missing
am,"parentalSettings","Parental Settings",missing
am,"REDACTED_TOKEN","Parents must approve before children can join",missing
am,"pay","Pay",missing
am,"payment","Payment",missing
am,"paymentConfirmation","Payment Confirmation",missing
am,"paymentSuccessful","Payment Successful!",missing
am,"paymentWasCancelled","Payment was cancelled",missing
am,"REDACTED_TOKEN","Permission {category} updated to $newValue",missing
am,"permissionsFamilylinkchildid","Permissions - {childId}",missing
am,"phoneBooking","Phone Booking",missing
am,"phoneProfileasyncphone","Phone: {phone}",missing
am,"phonebasedBookingSystem","• Phone-based booking system",missing
am,"pickDate","Pick Date",missing
am,"pickTime","Pick Time",missing
am,"playtimeAdminPanelTitle","Playtime Games – Admin",missing
am,"playtimeManagement","Playtime Management",missing
am,"REDACTED_TOKEN","Please activate your business profile to continue.",missing
